index   score   id
1	16.750	CDKN2A
2	16.750	PTEN
3	15.750	EGFR
4	15.750	TP53
5	13.750	PIK3CA
6	13.250	RB1
7	12.250	NF1
8	11.750	MET
9	11.500	CDK4
10	11.250	ATM
11	11.000	PDGFRA
12	10.750	MDM2
13	10.250	APC
14	9.750	EP300
15	9.750	ERCC2
16	9.750	KRAS
17	9.500	BRCA1
18	9.500	STK11
19	9.250	BRCA2
20	9.250	ERBB2
21	9.000	BRAF
22	9.000	FBXW7
23	8.750	MLH1
24	8.750	MSH2
25	8.750	SMAD4
26	8.500	FGFR3
27	8.500	MSH6
28	8.500	PIK3R1
29	8.250	ERCC3
30	8.250	JAK2
31	8.250	KIT
32	8.250	RET
33	8.000	AKT1
34	7.750	CDH1
35	7.750	NOTCH1
36	7.500	CCND2
37	7.500	MYC
38	7.500	NRAS
39	7.250	AKT2
40	7.250	CREBBP
41	7.250	NF2
42	7.250	NTRK1
43	7.250	PDGFRB
44	7.000	ABL1
45	7.000	CCND1
46	7.000	CDK6
47	7.000	HSP90AA1
48	7.000	TCF3
49	6.750	CTNNB1
50	6.750	FGFR1
51	6.750	HRAS
52	6.750	NTRK3
53	6.750	WT1
54	6.500	EXT1
55	6.500	FOXO3
56	6.500	PMS2
57	6.500	RUNX1
58	6.500	VHL
59	6.500	WRN
60	6.250	ALK
61	6.250	CHEK2
62	6.250	ERCC5
63	6.250	FAS
64	6.250	FGFR2
65	6.250	PTCH1
66	6.250	TSC2
67	6.000	BLM
68	6.000	CBL
69	6.000	COL1A1
70	6.000	EVI1
71	6.000	MAP2K4
72	6.000	PDGFB
73	6.000	SEPT9
74	5.750	FLT3
75	5.500	BUB1B
76	5.500	GNAS
77	5.500	PTPN11
78	5.250	FANCA
79	5.250	FANCF
80	5.250	FOXO1
81	5.250	XPA
82	5.250	XPC
83	5.000	BCL2
84	5.000	FANCE
85	5.000	FH
86	5.000	NBN
87	5.000	SMARCB1
88	5.000	TCF12
89	5.000	TPR
90	4.750	EWSR1
91	4.750	FANCD2
92	4.750	LMO2
93	4.750	TSC1
94	4.500	BCL11A
95	4.500	BCR
96	4.500	ETV1
97	4.500	HOXA9
98	4.500	MEN1
99	4.500	MYH9
100	4.500	NCOA2
101	4.500	PML
102	4.500	PPARG
103	4.500	RARA
104	4.500	SOCS1
105	4.500	TPM3
106	4.250	CCND3
107	4.250	CDX2
108	4.250	CEBPA
109	4.250	ERCC4
110	4.250	ETV4
111	4.250	KLF6
112	4.250	MPL
113	4.250	MUTYH
114	4.250	MYCL1
115	4.250	RECQL4
116	4.250	ROS1
117	4.250	SDHB
118	4.000	BCL3
119	4.000	BRIP1
120	4.000	CBFA2T3
121	4.000	CDC73
122	4.000	CLTC
123	4.000	DDB2
124	4.000	ERG
125	4.000	EXT2
126	4.000	FANCC
127	4.000	FANCG
128	4.000	GATA1
129	4.000	GMPS
130	4.000	GPC3
131	4.000	HMGA1
132	4.000	HOXD11
133	4.000	IDH1
134	4.000	MLL
135	4.000	MUC1
136	4.000	MYST4
137	4.000	NSD1
138	4.000	PAFAH1B2
139	4.000	RAD51L1
140	4.000	RUNX1T1
141	4.000	SDHC
142	4.000	SDHD
143	4.000	TFE3
144	4.000	TLX1
145	4.000	ZNF331
146	3.750	BIRC3
147	3.750	BMPR1A
148	3.750	CHN1
149	3.750	DDIT3
150	3.750	IL2
151	3.750	JAK3
152	3.750	MYCN
153	3.750	NUP214
154	3.750	SMO
155	3.750	SUFU
156	3.750	TAL1
157	3.500	ACSL6
158	3.500	ARNT
159	3.500	CYLD
160	3.500	HMGA2
161	3.500	HSP90AB1
162	3.500	LCK
163	3.500	LCP1
164	3.500	MSN
165	3.500	MYST3
166	3.500	NPM1
167	3.500	NUP98
168	3.500	PIM1
169	3.500	PMS1
170	3.500	PRKAR1A
171	3.500	RPN1
172	3.500	SEPT5
173	3.500	SS18
174	3.500	TFRC
175	3.500	TOP1
176	3.500	TSHR
177	3.500	ZBTB16
178	3.250	CASC5
179	3.250	CHIC2
180	3.250	CIITA
181	3.250	ELL
182	3.250	HNF1A
183	3.250	HOXA11
184	3.250	LIFR
185	3.250	NCOA4
186	3.250	RPL22
187	3.250	SSX4
188	3.250	STIL
189	3.250	TRIP11
190	3.000	ABL2
191	3.000	AKAP9
192	3.000	ATIC
193	3.000	BCL6
194	3.000	BCL9
195	3.000	BTG1
196	3.000	CARD11
197	3.000	CARS
198	3.000	CCNB1IP1
199	3.000	CIC
200	3.000	CLTCL1
201	3.000	COX6C
202	3.000	CRTC1
203	3.000	ETV6
204	3.000	FAM123B
205	3.000	FCGR2B
206	3.000	FLCN
207	3.000	FLI1
208	3.000	GPHN
209	3.000	HOXA13
210	3.000	HOXC13
211	3.000	HOXD13
212	3.000	KDSR
213	3.000	MAFB
214	3.000	MALT1
215	3.000	MAML2
216	3.000	MLLT4
217	3.000	NFKB2
218	3.000	OLIG2
219	3.000	PALB2
220	3.000	PAX8
221	3.000	PCM1
222	3.000	RANBP17
223	3.000	SFRS3
224	3.000	SSX2
225	3.000	TFEB
226	3.000	TFG
227	3.000	TFPT
228	3.000	TLX3
229	3.000	TMPRSS2
230	3.000	ZMYM2
231	3.000	ZNF384
232	2.750	ABI1
233	2.750	EPS15
234	2.750	PAX5
235	2.750	PLAG1
236	2.750	SYK
237	2.750	TRIM24
238	2.500	AFF4
239	2.500	BCL11B
240	2.500	BCL7A
241	2.500	BRD4
242	2.500	CLP1
243	2.500	EIF4A2
244	2.500	ELF4
245	2.500	FOXO4
246	2.500	FSTL3
247	2.500	HLF
248	2.500	KTN1
249	2.500	LHFP
250	2.500	MLLT11
251	2.500	MN1
252	2.500	MYH11
253	2.500	PCSK7
254	2.500	PDE4DIP
255	2.500	POU2AF1
256	2.500	PRDM16
257	2.500	RAP1GDS1
258	2.500	SLC45A3
259	2.500	TPM4
260	2.500	TRIM33
261	2.250	BCL10
262	2.250	CREB1
263	2.250	CXCR7
264	2.250	DDX10
265	2.250	DDX6
266	2.250	FIP1L1
267	2.250	GAS7
268	2.250	GOLGA5
269	2.250	GOPC
270	2.250	HIP1
271	2.250	HNRNPA2B1
272	2.250	ITK
273	2.250	MAF
274	2.250	MKL1
275	2.250	NCKIPSD
276	2.250	NUMA1
277	2.250	PAX3
278	2.250	PAX7
279	2.250	PRRX1
280	2.250	REL
281	2.250	TCL1A
282	2.250	TNFRSF17
283	2.250	WHSC1L1
284	2.000	AFF1
285	2.000	AFF3
286	2.000	ARHGAP26
287	2.000	ARHGEF12
288	2.000	ASPSCR1
289	2.000	ATF1
290	2.000	C15orf21
291	2.000	C15orf55
292	2.000	CBFB
293	2.000	CCDC6
294	2.000	CDH11
295	2.000	CEP110
296	2.000	CNBP
297	2.000	CYTSB
298	2.000	DEK
299	2.000	DUX4
300	2.000	ELN
301	2.000	EML4
302	2.000	ERC1
303	2.000	ETV5
304	2.000	FCRL4
305	2.000	FEV
306	2.000	FGFR1OP
307	2.000	FNBP1
308	2.000	FUS
309	2.000	HIST1H4I
310	2.000	IKZF1
311	2.000	IL21R
312	2.000	IRF4
313	2.000	JAZF1
314	2.000	KIAA1618
315	2.000	LASP1
316	2.000	LMO1
317	2.000	LPP
318	2.000	LYL1
319	2.000	MDS1
320	2.000	MITF
321	2.000	MLF1
322	2.000	MLLT1
323	2.000	MLLT10
324	2.000	MLLT3
325	2.000	MLLT6
326	2.000	MNX1
327	2.000	MSI2
328	2.000	MTCP1
329	2.000	NACA
330	2.000	NCOA1
331	2.000	NIN
332	2.000	NONO
333	2.000	NR4A3
334	2.000	OMD
335	2.000	PATZ1
336	2.000	PBX1
337	2.000	PER1
338	2.000	PHOX2B
339	2.000	PICALM
340	2.000	POU5F1
341	2.000	PRCC
342	2.000	PSIP1
343	2.000	RABEP1
344	2.000	RBM15
345	2.000	RHOH
346	2.000	SBDS
347	2.000	SEPT6
348	2.000	SET
349	2.000	SFPQ
350	2.000	SH3GL1
351	2.000	SS18L1
352	2.000	SSX1
353	2.000	SUZ12
354	2.000	TAF15
355	2.000	TAL2
356	2.000	TCEA1
357	2.000	TCL6
358	2.000	TET1
359	2.000	THRAP3
360	2.000	TTL
361	2.000	USP6
362	2.000	WAS
363	2.000	WHSC1
364	2.000	ZNF521
365	1.250	GATA2
366	1.250	MALAT1
367	1.000	BCL5
368	1.000	C12orf9
369	1.000	CREB3L2
370	1.000	FOXP1
371	1.000	IGH@
372	1.000	KIAA1549
373	1.000	MDS2
374	1.000	STL
375	1.000	TRA@
376	1.000	TRB@
377	1.000	TRD@
378	.000	IGK@
379	.000	IGL@
